date,route,market,bookings,avg_fare_hkd,load_factor,search_volume_index
2023-01-01,HKG-LHR,UK,245,5484,0.741,2065
2023-01-02,HKG-LHR,UK,243,4971,0.798,1665
2023-01-03,HKG-LHR,UK,248,5417,0.803,1976
2023-01-04,HKG-LHR,UK,230,4749,0.804,1309
2023-01-05,HKG-LHR,UK,225,5080,0.785,1477
2023-01-06,HKG-LHR,UK,230,5037,0.78,1399
2023-01-07,HKG-LHR,UK,233,5249,0.806,1759
2023-01-08,HKG-LHR,UK,270,4934,0.797,1785
2023-01-09,HKG-LHR,UK,255,5561,0.801,1766
2023-01-10,HKG-LHR,UK,230,5365,0.815,1840
2023-01-11,HKG-LHR,UK,212,5322,0.764,1678
2023-01-12,HKG-LHR,UK,219,5189,0.813,1296
2023-01-13,HKG-LHR,UK,228,5128,0.8,1709
2023-01-14,HKG-LHR,UK,210,4970,0.769,1513
2023-01-15,HKG-LHR,UK,241,5710,0.772,1666
2023-01-16,HKG-LHR,UK,229,4963,0.797,1640
2023-01-17,HKG-LHR,UK,257,5424,0.795,1750
2023-01-18,HKG-LHR,UK,245,5022,0.762,1519
2023-01-19,HKG-LHR,UK,209,5303,0.787,1565
2023-01-20,HKG-LHR,UK,217,5165,0.805,1458
2023-01-21,HKG-LHR,UK,241,4830,0.787,1391
2023-01-22,HKG-LHR,UK,233,5299,0.78,1632
2023-01-23,HKG-LHR,UK,264,5282,0.829,1754
2023-01-24,HKG-LHR,UK,246,5067,0.75,1418
2023-01-25,HKG-LHR,UK,219,4693,0.799,1664
2023-01-26,HKG-LHR,UK,221,5630,0.777,1691
2023-01-27,HKG-LHR,UK,214,5016,0.756,1756
2023-01-28,HKG-LHR,UK,251,4395,0.816,1817
2023-01-29,HKG-LHR,UK,247,4510,0.803,1892
2023-01-30,HKG-LHR,UK,266,5109,0.858,1982
2023-01-31,HKG-LHR,UK,242,5173,0.805,1690
2023-02-01,HKG-LHR,UK,254,5246,0.848,1845
2023-02-02,HKG-LHR,UK,222,4722,0.777,1452
2023-02-03,HKG-LHR,UK,240,5009,0.753,1667
2023-02-04,HKG-LHR,UK,248,5442,0.861,1729
2023-02-05,HKG-LHR,UK,265,4696,0.746,1670
2023-02-06,HKG-LHR,UK,256,4931,0.787,1425
2023-02-07,HKG-LHR,UK,276,5164,0.81,1977
2023-02-08,HKG-LHR,UK,223,4902,0.787,1713
2023-02-09,HKG-LHR,UK,236,5501,0.78,1461
2023-02-10,HKG-LHR,UK,222,4804,0.852,1774
2023-02-11,HKG-LHR,UK,260,4732,0.835,1657
2023-02-12,HKG-LHR,UK,262,5083,0.789,1570
2023-02-13,HKG-LHR,UK,265,4600,0.771,2166
2023-02-14,HKG-LHR,UK,287,5165,0.817,2025
2023-02-15,HKG-LHR,UK,268,5190,0.799,1774
2023-02-16,HKG-LHR,UK,244,5727,0.805,2028
2023-02-17,HKG-LHR,UK,219,5774,0.839,1305
2023-02-18,HKG-LHR,UK,246,5696,0.767,1582
2023-02-19,HKG-LHR,UK,277,4939,0.815,1643
2023-02-20,HKG-LHR,UK,280,5674,0.82,2109
2023-02-21,HKG-LHR,UK,240,5080,0.772,1738
2023-02-22,HKG-LHR,UK,241,4964,0.825,1860
2023-02-23,HKG-LHR,UK,242,4902,0.789,1686
2023-02-24,HKG-LHR,UK,249,5646,0.797,2060
2023-02-25,HKG-LHR,UK,252,5199,0.809,1466
2023-02-26,HKG-LHR,UK,272,5193,0.889,1982
